"REF_DATE","GEO","DGUID","Value","Type of cannabis","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021/2022","Prince Edward Island","2021A000211","Value of sales per capita","Inhaled cannabis extracts","Dollars","81","units","0","v1490436684","3.3.3","7","","","","0"
"2021/2022","Prince Edward Island","2021A000211","Value of sales per capita","Ingested cannabis extracts","Dollars","81","units","0","v1490436685","3.3.4","8","","","","0"
"2021/2022","Prince Edward Island","2021A000211","Value of sales per capita","Solid cannabis edibles","Dollars","81","units","0","v1490436686","3.3.5","7","","","","0"
"2021/2022","Prince Edward Island","2021A000211","Value of sales per capita","Cannabis beverages","Dollars","81","units","0","v1490436687","3.3.6","2","","","","0"
"2021/2022","Prince Edward Island","2021A000211","Value of sales per capita","Topicals, seeds, and other cannabis products","Dollars","81","units","0","v1490436688","3.3.7","10","","","","0"
"2021/2022","Nova Scotia","2021A000212","Value of sales","Total cannabis products","Dollars","81","thousands","3","v1490436689","4.1.1","101671","","","","0"
"2021/2022","Nova Scotia","2021A000212","Value of sales","Dried cannabis","Dollars","81","thousands","3","v1490436690","4.1.2","67988","","","","0"
"2021/2022","Nova Scotia","2021A000212","Value of sales","Inhaled cannabis extracts","Dollars","81","thousands","3","v1490436691","4.1.3","17467","","","","0"
"2021/2022","Nova Scotia","2021A000212","Value of sales","Ingested cannabis extracts","Dollars","81","thousands","3","v1490436692","4.1.4","7755","","","","0"
"2021/2022","Nova Scotia","2021A000212","Value of sales","Solid cannabis edibles","Dollars","81","thousands","3","v1490436693","4.1.5","4459","","","","0"
"2021/2022","Nova Scotia","2021A000212","Value of sales","Cannabis beverages","Dollars","81","thousands","3","v1490436694","4.1.6","1916","","","","0"
"2021/2022","Nova Scotia","2021A000212","Value of sales","Topicals, seeds, and other cannabis products","Dollars","81","thousands","3","v1490436695","4.1.7","2086","","","","0"
"2021/2022","Nova Scotia","2021A000212","Value of sales per capita","Total cannabis products","Dollars","81","units","0","v1490436696","4.3.1","125","","","","0"
"2021/2022","Nova Scotia","2021A000212","Value of sales per capita","Dried cannabis","Dollars","81","units","0","v1490436697","4.3.2","83","","","","0"
"2021/2022","Nova Scotia","2021A000212","Value of sales per capita","Inhaled cannabis extracts","Dollars","81","units","0","v1490436698","4.3.3","21","","","","0"
"2021/2022","Nova Scotia","2021A000212","Value of sales per capita","Ingested cannabis extracts","Dollars","81","units","0","v1490436699","4.3.4","10","","","","0"
