StoreName,City,Province,FullProvinceName,FullAddress
It's 4:20 Somewhere,Hay River,NT,Northwest Territories,"1-4 Courtoreille Street"
Abrahams's Cannabis,Inuvik,NT,Northwest Territories,"110 Veteran’s Way"
Sahtu Spot,Norman Wells,NT,Northwest Territories,"5 Town Square"
Releaf NT,Yellowknife,NT,Northwest Territories,"5123 51 St (Kingpin Centre Building)"
Trailblazer Cannabis Shop,Yellowknife,NT,Northwest Territories,"Unit 12, 100 Borden Drive"
