"License Number","Municipality or First Nation","Store Name",Address,"Store Application Status",Website
CRSA1212013,GEORGETOWN,"One Plant Georgetown","235 GUELPH ST UNIT 5B","Authorized to Open",https://www.oneplant.ca/locations/georgetown
CRSA1219518,MITCHELL,"Leaf & Embers","24 ONTARIO RD","Authorized to Open",
CRSA1206722,"NORTH YORK","Highlife on Finch Retail","1295 FINCH AVE W UNIT 1","Authorized to Open",https://highlife.ca
CRSA1366903,CAMBRIDGE,"Tokyo Smoke Cambridge","75 PINEBUSH RD UNIT D0005","Authorized to Open",
CRSA1226805,MITCHELL,"HIGH HOPES CANNABIS","53 MONTREAL ST","Authorized to Open",https://www.highhopescannabis.ca
CRSA1215128,PETAWAWA,"Petawawa Cannabis Store","3241 PETAWAWA BLVD","Authorized to Open",https://www.petawawa.store
CRSA1367268,MISSISSAUGA,"One Plant","1482 DUNDAS ST E UNIT 1-2","Authorized to Open",https://www.oneplant.ca/
CRSA1367139,OSHAWA,"One Plant","2635 SIMCOE ST N UNIT 6","Authorized to Open",https://www.oneplant.ca/locations/north-oshawa
CRSA1227757,BRANTFORD,"SWEET RELEAFS INC","248 LYNDEN RD UNIT 3","Authorized to Open",
CRSA1206313,BARRIE,"Tokyo Smoke Barrie Essa Road","555 ESSA RD","Authorized to Open",
CRSA1206578,"THUNDER BAY","HAPPY LIFE","1170 MEMORIAL AVE","Authorized to Open",
CRSA1206438,"SIOUX LOOKOUT","Ideal Buds (Sioux Lookout)","90 FRONT STREET","Authorized to Open",https://idealbuds.ca
CRSA1368022,MISSISSAUGA,"The Hunny Pot Cannabis Co.","4036 CONFEDERATION PKY","Authorized to Open",https://thehunnypot.com
CRSA1210869,MADOC,"Olympia Cannabis Madoc (O/C Madoc)","15 DURHAM ST S UNIT 1","Authorized to Open",
CRSA1217950,TORONTO,"Seoul Cannabis","22 BATHURST ST","Authorized to Open",https://seoulcannabis.ca
CRSA1210018,"STONEY CREEK","Sessions Cannabis","369 HIGHWAY 8 UNIT B2","Authorized to Open",
CRSA1207212,AMHERSTVIEW,"Star Buds Cannabis Co.","4507 BATH RD SUITE 5","Authorized to Open",https://www.starbuds.co/ontario
CRSA1211313,BRAMPTON,BUDSSMOKE,"170 DAVENFIELD CIR","Authorized to Open",
CRSA1229896,CAMBRIDGE,"VIP Cannabis Company","336 EAGLE ST N SUITE 102","Authorized to Open",
CRSA1368728,"SAULT STE. MARIE","Matchbox Cannabis","632 GREAT NORTHERN RD UNIT 2","Authorized to Open",
CRSA1369303,MISSISSAUGA,"HOLLAND DAZE","6415 ERIN MILLS PKY UNIT B5","Authorized to Open",https://hollanddaze.ca/
CRSA1224097,SCARBOROUGH,"Breaking Bud Cannabis","2683 EGLINTON AVE E","Authorized to Open",
CRSA1370588,SCARBOROUGH,"HOLLAND DAZE","3165 MARKHAM RD UNIT C3","Authorized to Open",
CRSA1233378,PICKERING,"HOLLAND DAZE","981 BROCK RD UNIT 2","Authorized to Open",https://hollanddaze.ca/
CRSA1231574,GUELPH,"Kraft Cannabis Company","666 WOOLWICH ST UNIT 30","Authorized to Open",https://www.kraftcannabisguelph.com
CRSA1223864,MIDHURST,Budtimez,"1179 BAYFIELD ST N","Authorized to Open",https://Budtimez.ca
