"License Number","Municipality or First Nation","Store Name",Address,"Store Application Status",Website
CRSA1172610,TORONTO,"THE GREEN CLOSET","439 PARLIAMENT ST","Authorized to Open",https://thegreencloset.ca
CRSA1266139,BRAMPTON,"THE GREEN HEX","200 COUNTY COURT BLVD SUITE A2","Authorized to Open",https://www.thegreenhex.com
CRSA1411155,WOODVILLE,"The Cannabis Connoisseur, Woodville","99 KING STREET UNIT C","Authorized to Open",
CRSA1408558,STRATHROY,"Highlife Strathroy","360 CARADOC ST S UNIT 3","Authorized to Open",https://highlife.ca
CRSA1409797,"NORTH YORK","Cannabis Hut Ltd.","898 WILSON AVE","Authorized to Open",https://Cannabishut.ca
CRSA1203930,GREELY,"Mary J's Cannabis Greely","6045 BANK ST. UNITS 302 & 303","Authorized to Open",https://www.maryjcannabis.ca/
CRSA1416057,RICHMOND,"Canna Cabana","5921 PERTH ST UNIT 300","Authorized to Open",https://cannacabana.com/
CRSA1172471,"EAST YORK","Canna Cabana East York","1723 BAYVIEW AVE UNIT A1","Authorized to Open",https://cannacabana.com/
CRSA1175952,PETERBOROUGH,"KAWARTHA LEAFS","1535 WATER ST UNIT 2","Authorized to Open",
CRSA1412936,PETERBOROUGH,"Kawartha Leafs","223 BROCK ST","Authorized to Open",https://brockstreet.kawarthaleafs.ca/
CRSA1441075,"WHITE RIVER","REALTIME CANNABIS","UNIT A, 200 HWY 17","Authorized to Open",https://www.realtimecannabis.com
CRSA1200577,"NIAGARA FALLS",Cannaverse,"8189 LUNDY'S LANE UNIT 3","Authorized to Open",https://www.mycannaverse.ca/niagara/all/
CRSA1229723,TORONTO,"FIKA Cannabis","65 FRONT ST W UNIT 405","Authorized to Open",https://fikacannabis.com/shop
CRSA1268940,WINDSOR,"Pop's Cannabis Co.","1940 TECUMSEH RD W","Authorized to Open",https://popscannabis.ca/shop
CRSA1236544,SCARBOROUGH,"STOK'D CANNABIS","2978 EGLINTON AVE E UNIT 1","Authorized to Open",https://www.stokd.ca
CRSA1172497,NORTHBROOK,"41 Cannabis Company","12278 HIGHWAY 41 RR 1","Authorized to Open",https://www.41cannabisco.ca
CRSA1172685,KINGSTON,"Mary J's Cannabis","154 DIVISION ST","Authorized to Open",https://www.maryjcannabis.ca/
CRSA1216838,BRAMPTON,"Bodega Boyz","69 BRAMALEA RD SUITE 3","Authorized to Open",
CRSA1173241,BARRIE,"The Underground Ontario","408 DUNLOP ST W UNIT 2","Authorized to Open",https://www.theunderground.store/
CRSA1190297,KITCHENER,"Canna Cabana","569 FAIRWAY RD S UNIT H3","Authorized to Open",https://cannacabana.com/
CRSA1259951,"PARRY SOUND","True North Cannabis Co.","34 SEGUIN ST","Authorized to Open",https://www.tncc.ca/shop/parry-sound/
CRSA1258592,MIDLAND,"True North Cannabis Co.","212 KING ST UNIT 1","Authorized to Open",https://www.tncc.ca/shop/midland/
CRSA1172392,TORONTO,"Dutch Love Cannabis","1316 KING ST W","Authorized to Open",https://dutch.love
CRSA1255131,ELMVALE,"Bigfoot's Cannabis Inc.","2 QUEEN ST W UNIT 3","Authorized to Open",https://bigfootcannabis.ca/
CRSA1161431,STOUFFVILLE,"One Plant Stouffville","5779 MAIN ST UNIT 105","Authorized to Open",https://www.oneplant.ca
CRSA1412348,MISSISSAUGA,"Flowertown Cannabis","17 QUEEN ST N UNIT 2B","Authorized to Open",https://flowertowncannabis.ca
CRSA1233552,ETOBICOKE,"Gram Station","2 WENDOVER RD","Authorized to Open",
CRSA1260584,TORONTO,"Value Buds","251 KING ST E UNIT A1","Authorized to Open",https://www.valuebuds.com
CRSA1260583,BRAMPTON,"Value Buds","233 QUEEN ST E","Authorized to Open",https://www.valuebuds.com
CRSA1260582,"NORTH YORK","Value Buds","2546 FINCH AVE W SUITE 12","Authorized to Open",https://www.valuebuds.com
CRSA1172601,"ST THOMAS","Green Light Cannabis Shop","188 SUNSET DR SUITE 1","Authorized to Open",https://www.greenlightcannabisshop.com
CRSA1152164,"ST CATHARINES","THE NIAGARA HERBALIST","33 LAKESHORE RD UNIT 15","Authorized to Open",https://www.theniagaraherbalist.com
CRSA1172745,LONDON,"Lux Smoke Vape/Cafe","467 WHARNCLIFFE RD S","Authorized to Open",https://www.luxsmoke.ca
CRSA1172378,SCARBOROUGH,"GOOD COOKIE","371 OLD KINGSTON RD SUITE B","Authorized to Open",
CRSA1203628,LONDON,"HELLO CANNABIS YORK ST","73 YORK ST","Authorized to Open",
CRSA1233592,"NIAGARA FALLS","The Hunny Pot Cannabis Co.","7481 OAKWOOD DR","Authorized to Open",https://thehunnypot.com
CRSA1232918,WINDSOR,"Harvest Bud Cannabis","2155 WYANDOTTE ST W SUITE B","Authorized to Open",
CRSA1243316,KESWICK,"One Plant Keswick","76 ARLINGTON DR UNIT 8","Authorized to Open",https://www.oneplant.ca
CRSA1413939,OTTAWA,"Bluebird Cannabis 203.5 Queen Street","203 1/2 QUEEN ST","Authorized to Open",https://bluebirdcannabis.store/
CRSA1172723,PETERBOROUGH,"The Peace Pipe","408 GEORGE ST N","Authorized to Open",https://peacepipe420.com
CRSA1414543,"FORT ERIE","Heritage Cannabis East Corporation","333 JARVIS ST","Authorized to Open",
CRSA1244620,PERTH,"Olympia Cannabis Perth O/C Perth","88 GORE ST E","Authorized to Open",
CRSA1414607,MISSISSAUGA,"Pop's Cannabis Co.","6720 MEADOWVALE TOWN CENTRE CIR UNIT D01A","Authorized to Open",https://popscannabis.ca/shop
CRSA1414502,MISSISSAUGA,"Pop's Cannabis Co.","377 BURNHAMTHORPE RD E UNIT 2A","Authorized to Open",https://popscannabis.ca/shop
CRSA1414272,"WASAGA BEACH","ONE PLANT WASAGA BEACH MOSLEY","1890 MOSLEY ST UNIT 2","Authorized to Open",https://oneplant.ca
CRSA1414364,"CARLETON PLACE","Inspired Cannabis Co","438 MCNEELY AVE UNIT 3","Authorized to Open",https://www.inspiredcannabis.ca
CRSA1256017,PETERSBURG,"VIP Cannabis Company","1656 SNYDERS RD E, UNIT B","Authorized to Open",
CRSA1251311,WATERLOO,"Growers Retail","50 WESTMOUNT RD N","Authorized to Open",https://www.growersretailcannabis.ca
CRSA1172562,TORONTO,"Growers Retail Bloor","1239 BLOOR ST W","Authorized to Open",https://www.growersretailcannabis.ca
CRSA1172465,BOWMANVILLE,"SPEAK EASY CANNABIS","21 KING ST W","Authorized to Open",
CRSA1172382,TORONTO,"THE HUNNY POT CANNABIS CO.","2103 YONGE ST","Authorized to Open",https://thehunnypot.com
CRSA1228975,WAWA,"T CANNABIS NW","152 MISSION RD","Authorized to Open",https://tcann.ca/
CRSA1172469,SCARBOROUGH,"SPIRITLEAF 875 MILNER AVENUE","875 MILNER AVE UNIT 114","Authorized to Open",https://spiritleaf.ca/collections/spiritleaf-scarborough
CRSA1185461,OTTAWA,Pakalolo,"258 ELGIN ST","Authorized to Open",https://www.shoppakalolo.com
CRSA1272841,PICKERING,"CANNABIS XPRESS","1692 CENTRAL ST UNIT 1","Authorized to Open",https://www.cannabis-xpress.com
CRSA1247824,"NORTH YORK","Take Me Home Cannabis","820 WILSON AVE","Authorized to Open",https://Tmhcannabis.com
CRSA1172622,"NORTH YORK","SPIRITLEAF 895 LAWRENCE AVENUE","895 LAWRENCE AVE E, UNIT NO. A01001A","Authorized to Open",https://spiritleaf.ca/collections/spiritleaf-don-mills
CRSA1263173,OSHAWA,"True North Cannabis Co.","1076 CEDAR ST SUITE 3","Authorized to Open",https://tncc.ca
CRSA1172510,YORK,"Canvas Cannabis","1285 WESTON RD","Authorized to Open",https://www.canvascannabis.ca/cannabis-store/mount-dennis-dispensary
CRSA1415794,MISSISSAUGA,"Cantopia Cannabis Co.","1252 EGLINTON AVE W SUITE F4","Authorized to Open",
CRSA1415961,ONAPING,"Highlife Onaping","6 REGIONAL ROAD 8 UNIT C","Authorized to Open",https://highlife.ca
CRSA1230906,"VANKLEEK HILL","Ingram & Sons Cannabis Co.","16 HIGH STREET","Authorized to Open",https://www.ingramandsons.ca
CRSA1241646,YORK,"Above The Clouds Cannabis","259 SCARLETT RD","Authorized to Open",https://www.abovethecloudscannabis.com
CRSA1416310,WINDSOR,"REGULATORS CANNABIS","8486 WYANDOTTE ST E","Authorized to Open",https://www.regulatorscannabis.com
CRSA1406446,MISSISSAUGA,"Canna Cabana","6400 MILLCREEK DR UNIT 14","Authorized to Open",https://cannacabana.com/
CRSA1179213,TORONTO,"MANI'S TOKE","1164 QUEEN ST W","Authorized to Open",
CRSA1419658,SCARBOROUGH,"HOLLAND DAZE","1351 DANFORTH RD","Authorized to Open",https://hollanddaze.ca
CRSA1428840,COLLINGWOOD,"Canna Cabana","99 BALSAM ST UNIT J2A","Authorized to Open",https://cannacabana.com/
CRSA1179103,"NORTH BAY","TOKYO SMOKE NORTH BAY","390 LAKESHORE DR SUITE 3","Authorized to Open",https://ca.tokyosmoke.com/
CRSA1172441,"NIAGARA FALLS","CANNA CABANA","5731 VICTORIA AVE","Authorized to Open",https://cannacabana.com/
CRSA1172436,TORONTO,"Canna Cabana","433 PARLIAMENT ST","Authorized to Open",https://cannacabana.com/
CRSA1162578,HAMILTON,"CANNA CABANA","1317 BARTON STREET EAST UNIT H09","Authorized to Open",https://cannacabana.com/
CRSA1206409,WATERLOO,"Phoenix Cannabis","288 ALBERT ST UNIT 101","Authorized to Open",
CRSA1172617,TORONTO,"Canna Cabana","79 FRONT ST E","Authorized to Open",https://cannacabana.com/
CRSA1172589,BARRIE,"Star Buds Cannabis Co.","181 LIVINGSTONE ST E UNIT 3","Authorized to Open",https://www.starbuds.co/ontario
CRSA1235998,"ST CATHARINES","My Cannabis Shoppe","216 QUEENSTON ST","Authorized to Open",https://mycannabisshoppe.ca/
CRSA1417608,PETROLIA,"Highlife Petrolia","4110 PETROLIA LINE UNIT 1","Authorized to Open",https://highlife.ca
CRSA1172484,OTTAWA,"Spiritleaf 1200B Wellington Street West","1200B WELLINGTON ST W","Authorized to Open",https://spiritleaf.ca/collections/spiritleaf-wellington-west
CRSA1243915,"KIRKLAND LAKE",Rozbudz,"54 GOVERNMENT RD W UNIT A","Authorized to Open",https://www.rozbudz.com
CRSA1272191,WINDSOR,"Discounted Cannabis","1332 WYANDOTTE ST E","Authorized to Open",https://www.discountedcannabis.ca
CRSA1241906,KINGSTON,"HIGH CANNABIS 83","83 ABERFOYLE RD UNIT 3","Authorized to Open",https://www.highcannabis.com
CRSA1199610,ORLEANS,"One Plant Orleans","4240 INNES RD UNIT J3","Authorized to Open",https://www.oneplant.ca/locations/ottawa-orleans
CRSA1447958,OTTAWA,"Purple Meadow Cannabis","372 RIDEAU ST UNIT A/B","Authorized to Open",https://www.purplemeadow.ca
CRSA1278399,HAMILTON,"COST CANNABIS","32 BARTON ST E","Authorized to Open",https://costcan.ca/
CRSA1172646,LINDSAY,"The 420 Store","370 KENT ST W","Authorized to Open",https://the420store.ca/
CRSA1178912,TORONTO,"GREEN MERCHANT A CANNABIS BOUTIQUE","294 DANFORTH AVE","Authorized to Open",
CRSA1204531,SCARBOROUGH,"Canna Vibes","1195 BIRCHMOUNT RD UNIT 1193A","Authorized to Open",https://cannavibes.ca
CRSA1254817,TORONTO,Weedjar,"809 YONGE ST","Authorized to Open",https://weedjar.ca/
CRSA1418906,SCARBOROUGH,"Friendly Stranger","2465 KINGSTON RD UNIT 110","Authorized to Open",https://friendlystranger.com/shop
CRSA1233249,BURLINGTON,"Uncle Louie's Cannabis Shop","574 PLAINS RD E UNIT B","Authorized to Open",https://www.unclelouiescannabis.ca
CRSA1172746,TORONTO,1922,"120 SHERBOURNE ST","Authorized to Open",https://1922cannabisretail.com/
CRSA1419918,ETOBICOKE,"Green Market Cannabis","190 QUEEN'S PLATE DR UNIT B5B","Authorized to Open",https://www.greenmarketcanna.com
CRSA1176503,NEWCASTLE,"Central Plains Cannabis","34 BEAVER ST N","Authorized to Open",https://www.centralplainscannabis.com
CRSA1419434,MISSISSAUGA,"Flowertown Cannabis","3105 WINSTON CHURCHILL BLVD UNIT 16","Authorized to Open",https://flowertowncannabis.ca
CRSA1172597,SCARBOROUGH,"Growers Retail","2002 LAWRENCE AVE E","Authorized to Open",https://www.growersretailcannabis.ca
CRSA1239295,"TERRACE BAY","My Cannabis","1002 HWY 17 UNIT 1","Authorized to Open",
CRSA1172747,ORLEANS,"The Oz Store","3022 ST. JOSEPH BLVD UNIT B","Authorized to Open",https://ozstore.ca/
CRSA1172690,"SMITHS FALLS","T CANNABIS","4 RUSSELL ST E","Authorized to Open",https://tcann.ca/
CRSA1172566,BANCROFT,"The Underground Ontario","1 FAIRWAY BLVD UNIT 6 RR 2","Authorized to Open",https://www.theunderground.store/
CRSA1246059,BURLINGTON,"One Plant Burlington","2025 GUELPH LINE UNIT 133","Authorized to Open",https://www.oneplant.ca/locations/burlington
CRSA1191247,NEPEAN,"One Plant Barrhaven","4335 STRANDHERD DR UNIT 3,4,5","Authorized to Open",https://www.oneplant.ca/locations/ottawa-barrhaven
CRSA1177498,GANANOQUE,"CANNABIS BAZAAR","210 KING ST E UNIT B","Authorized to Open",
CRSA1228680,HAMILTON,Greenhouse,"1216 UPPER WENTWORTH ST","Authorized to Open",https://www.greenhousecannabis.ca/pages/menu.html#/menu
CRSA1276051,ETOBICOKE,"COST CANNABIS","1123 ALBION RD UNIT 3","Authorized to Open",https://costcan.ca/
CRSA1194242,WATERLOO,"BUDDIES CANNABIS","25 UNIVERSITY AVE E","Authorized to Open",
CRSA1187876,KITCHENER,ADOREWEED,"277 LANCASTER ST W UNIT 2","Authorized to Open",
CRSA1172446,STITTSVILLE,"Spiritleaf 1250 STITTSVILLE MAIN STREET","1250 STITTSVILLE MAIN ST UNIT C10","Authorized to Open",https://spiritleaf.ca/collections/spiritleaf-stittsville
CRSA1421458,"SAULT STE. MARIE","Due North Cannabis Co.","150 CHURCHILL BLVD UNIT C001","Authorized to Open",https://duenorthcannabis.com/
CRSA1421459,"SAULT STE. MARIE","Due North Cannabis Co.","710 SECOND LINE E UNIT 5","Authorized to Open",https://duenorthcannabis.com/
CRSA1421460,"SAULT STE. MARIE","Due North Cannabis Co","695 PINE ST UNIT T6","Authorized to Open",https://duenorthcannabis.com/
CRSA1172724,"CARLETON PLACE","Olympia Cannabis","101 BRIDGE ST","Authorized to Open",
CRSA1172567,TORONTO,"K’S POT SHOP","1342 QUEEN ST E","Authorized to Open",https://kspotshop.ca
CRSA1172551,TORONTO,"Spiritleaf Little Italy","542 COLLEGE ST","Authorized to Open",https://spiritleaf.ca/collections/spiritleaf-little-italy
CRSA1172447,TORONTO,"TWO CATS CANNABIS CO.","1014 GERRARD ST E","Authorized to Open",https://www.twocatscannabisco.com/
CRSA1172560,ORLEANS,"Unplug Cannabis Co.","1375 TRIM RD UNIT 3","Authorized to Open",https://www.unplugcannabis.com
CRSA1172485,GUELPH,"Spiritleaf Guelph","492 EDINBURGH RD S UNIT B2B","Authorized to Open",https://spiritleaf.ca/collections/spiritleaf-south-guelph
CRSA1159246,AJAX,"One Plant","20 KINGSTON RD W UNIT 3A","Authorized to Open",https://www.oneplant.ca/locations/ajax
CRSA1172449,WATERDOWN,"SPIRITLEAF 64 HAMILTON STREET NORTH","64 HAMILTON ST N UNIT 2A","Authorized to Open",https://spiritleaf.ca/collections/spiritleaf-waterdown
CRSA1172453,TORONTO,"The Hunny Pot Cannabis Co.","2591 YONGE ST","Authorized to Open",https://thehunnypot.com
CRSA1172649,TORONTO,"Erbn Green","3244 YONGE ST","Authorized to Open",https://www.erbngreen.com
CRSA1172615,"NORTH YORK","Eighth Cannabis","610 MARLEE AVE","Authorized to Open",https://toronto.8th.ca/
CRSA1172623,BLENHEIM,"Higher Limits Cannabis Company","52 CATHERINE ST UNIT 4","Authorized to Open",https://www.higherlimits.com
CRSA1422722,BROCKVILLE,"The Oz Store","238 KING ST W","Authorized to Open",https://ozstore.ca/
CRSA1443630,ENGLEHART,Sam'S'Pot,"46 THIRD ST UNIT 3","Authorized to Open",
CRSA1268158,ESPANOLA,"Happy Life","387 CENTRE ST","Authorized to Open",
CRSA1268168,CHELMSFORD,"HAPPY LIFE","3702 HIGHWAY 144 UNIT 2","Authorized to Open",
CRSA1273588,"NORTH GOWER","CANNABIS XPRESS","2333 CHURCH STREET, UNIT 3","Authorized to Open",https://www.cannabis-xpress.com
CRSA1261134,CARP,"VALLEY BUD","433 DONALD B MUNRO DR UNIT B","Authorized to Open",https://www.valleybud.ca/
CRSA1172631,STRATFORD,SPIRITLEAF,"1020 ONTARIO ST SUITE 2","Authorized to Open",https://spiritleaf.ca/collections/spiritleaf-stratford
CRSA1219303,PETERBOROUGH,"Highlife Cannabis Peterborough","119 GEORGE ST N","Authorized to Open",https://highlife.ca
CRSA1172507,"NORTH YORK","Utopia Cannabis","1252 LAWRENCE AVE E UNIT 4","Authorized to Open",https://www.utopiatoronto.com
CRSA1237170,OTTAWA,"BlueBird Cannabis Express","3500 HAWTHORNE RD UNIT C","Authorized to Open",https://bluebirdcannabis.store/
CRSA1235004,"SIOUX LOOKOUT","T CANNABIS NW","37 FRONT ST","Authorized to Open",https://tcann.ca/
CRSA1277522,"NORTH YORK","One Plant","1703 AVENUE RD","Authorized to Open",https://www.oneplant.ca/
CRSA1279033,HANNON,"One Plant","2172 RYMAL RD E UNIT E1","Authorized to Open",https://www.oneplant.ca/locations/hamilton
CRSA1250792,SIMCOE,"1 Stop Cannabis","38 NORFOLK ST S","Authorized to Open",https://www.1stopcannabis.ca
CRSA1271828,TORONTO,"Buzzed Buds","3080 YONGE ST UNIT E","Authorized to Open",https://www.buzzedbuds.co/
CRSA1439439,TORONTO,"Value Buds","238 CARLTON ST","Authorized to Open",https://www.valuebuds.com
CRSA1172699,TORONTO,"Fire & Flower Cannabis Co.","4 BROCK AVE","Authorized to Open",https://fireandflower.com/shop
CRSA1172448,TORONTO,"Spiritleaf 1698 Queen St W","1698 QUEEN ST W","Authorized to Open",https://spiritleaf.ca/collections/spiritleaf-parkdale-queen-street-west?birthMo…
CRSA1172427,TORONTO,"BLUNT AND CHERRY","64 SPADINA AVE","Authorized to Open",https://www.bluntandcherry.com
CRSA1248040,SUDBURY,"Wild Flowerz","533 KATHLEEN ST UNIT B","Authorized to Open",https://wildflowerz.ca
CRSA1172368,SCARBOROUGH,"Your Local Cannabis","1260 KENNEDY RD UNIT 9","Authorized to Open",https://yourlocalcannabis.com/kennedy/
CRSA1172552,NEPEAN,"PURE LEAF CANNABIS","2027 ROBERTSON RD","Authorized to Open",
CRSA1172440,ETOBICOKE,"MaryJane's Cannabis","418 THE WESTWAY","Authorized to Open",https://www.maryjanes.ca
CRSA1269724,PICTON,Cannaverse,"23 GEORGE WRIGHT BLVD UNIT C-1 RR1","Authorized to Open",https://www.mycannaverse.ca/Picton/all/
CRSA1177784,"NORTH YORK","V&D Cannabis","2851 DUFFERIN ST","Authorized to Open",https://www.vnd.life
CRSA1179045,TORONTO,"HIGH Q SOLUTIONS","1444 DUPONT ST BUILDING C UNIT 20","Authorized to Open",
CRSA1172645,BURLINGTON,Spiritleaf,"3295 FAIRVIEW ST, UNIT 004A","Authorized to Open",https://spiritleaf.ca/collections/spiritleaf-woodview-place
CRSA1425587,TIMMINS,"COST CANNABIS","993 RIVERSIDE DR","Authorized to Open",https://costcan.ca/
CRSA1238838,WINDSOR,"Canna Cabana","6711 TECUMSEH RD E UNIT 8A","Authorized to Open",https://cannacabana.com/
CRSA1172412,WHITCHURCH-STOUFFVILLE,"Gormley Cannabis","12275 WOODBINE AVE.","Authorized to Open",https://www.gormleycannabis.ca
CRSA1225008,LONDON,"FIKA LOCAL CANNABIS","1965 HYDE PARK RD UNIT 104A","Authorized to Open",https://fikacannabis.com/shop
CRSA1244071,PETERBOROUGH,"LOST CANNABIS COMPANY","139 GEORGE ST N UNIT 2","Authorized to Open",https://www.lostcannabis.ca
CRSA1264969,BRAMPTON,TOKA+,"490 CHRYSLER DR SUITE 49","Authorized to Open",
CRSA1172499,WATERDOWN,"GRASS STATION","53 DUNDAS ST E SUITE 2","Authorized to Open",
CRSA1172456,WINDSOR,"ShinyBud Cannabis Co. 7833 Tecumseh","7833 TECUMSEH RD E","Authorized to Open",https://shinybud.com/windsor/
CRSA1172935,TRENTON,"Island Smoke","220 DUNDAS ST E","Authorized to Open",https://islandsmoke.com
CRSA1172506,TORONTO,"GROWERS RETAIL","492 PARLIAMENT ST","Authorized to Open",https://www.growersretailcannabis.ca
CRSA1172387,"NIAGARA FALLS","OFFSIDE CANNABIS","6474 LUNDY'S LANE","Authorized to Open",https://Offsidecannabis.com
CRSA1431679,GUELPH,"Fire & Flower Cannabis Co.","79 CLAIR RD E UNIT 104","Authorized to Open",https://fireandflower.com/shop
CRSA1174801,TORONTO,"WONDERLAND CANNABIS","1578 QUEEN ST E","Authorized to Open",https://www.wonderlandcannabis.ca/
CRSA1281138,TORONTO,"Relm Cannabis","809 GERRARD ST E","Authorized to Open",https://relmriverdale.ca
CRSA1268253,SUDBURY,"CASA BLISS","324 ELM ST UNIT 2","Authorized to Open",https://casablisscannabis.com/
CRSA1277316,MILTON,"Tokyo Smoke Milton","890 MAIN ST E UNIT 8","Authorized to Open",https://ca.tokyosmoke.com/pages/tokyo-smoke-milton-commons
CRSA1172862,COLLINGWOOD,"Spiritleaf 10 Balsam Street","10 BALSAM ST UNIT 3","Authorized to Open",https://spiritleaf.ca/collections/spiritleaf-collingwood
CRSA1259279,COURTICE,"The Happy Cannasseur","1413 KING ST E UNIT 5","Authorized to Open",
CRSA1427294,TORONTO,"One Plant - Yonge St.","333 YONGE ST","Authorized to Open",https://www.oneplant.ca/
CRSA1261911,BRIGHTON,"True North Cannabis Co.","43 MAIN STREET","Authorized to Open",https://tncc.ca
CRSA1209085,HANMER,"HIGHLIFE CANNABIS HANMER EXPRESS","5085 OLD HWY 69","Authorized to Open",https://highlife.ca
CRSA1172487,TORONTO,"Welcome Cannabis","1227 DUNDAS ST W","Authorized to Open",
CRSA1444398,"NORTH BAY",BUDSSMOKE,"177 MAIN ST W","Authorized to Open",
CRSA1438402,CORNWALL,"Canna Cabana","525 NINTH ST E UNIT D1","Authorized to Open",https://cannacabana.com/
CRSA1428326,TILLSONBURG,"Fiore Verde","52 SIMCOE ST","Authorized to Open",https://www.fioreverde.ca
CRSA1428079,TORONTO,"Cannabis Hut","1746 JANE ST UNIT 2 & 3","Authorized to Open",
CRSA1172653,"DEEP RIVER","Deep River Cannabis","33155 HIGHWAY 17 EAST","Authorized to Open",
CRSA1241595,WINDSOR,"Regulators Cannabis","3099 FOREST GLADE DR","Authorized to Open",https://www.regulatorscannabis.ca
CRSA1283412,BRANTFORD,"COST CANNABIS","61 LYNDEN RD UNIT B4","Authorized to Open",https://costcan.ca/
CRSA1428775,STITTSVILLE,"Pop's Cannabis Co.","1150 TERRY FOX DR UNIT 2","Authorized to Open",https://popscannabis.ca/
CRSA1428695,SCARBOROUGH,"Cannabis Hut Ltd.","4286 KINGSTON RD UNIT 9","Authorized to Open",https://Cannabishut.ca
CRSA1172663,"STONEY CREEK","Sessions Cannabis Stoney Creek","1786 STONE CHURCH RD E","Authorized to Open",https://www.sessions.ca/locations/1786-stone-church-rd-hamilton-dispensary/
CRSA1172528,CAMBRIDGE,"Sessions Cannabis Cambridge","101 HOLIDAY INN DR UNIT B1","Authorized to Open",https://www.sessions.ca/locations/101-holiday-inn-dr-cambridge-dispensary/
CRSA1428965,HAMILTON,"COST CANNABIS","32 BARTON ST E UNIT 1","Authorized to Open",https://costcan.ca/
CRSA1208786,LONDON,"FAMOUS FLOWER CANNABIS CO.","1777 DUNDAS ST UNIT A2","Authorized to Open",
CRSA1172501,CHATHAM,"Bud Bank","445 RICHMOND ST","Authorized to Open",https://budbank.shop
CRSA1172512,"NIAGARA FALLS","Wonder Buds Cannabis","4635-A  QUEEN ST","Authorized to Open",https://wonderbuds.ca/
CRSA1429227,HAMPTON,"Kawartha Smoke","2363 TAUNTON RD UNIT 6","Authorized to Open",https://www.kawarthasmoke.ca
CRSA1172630,BRADFORD,"STAR BUDS CANNABIS CO.","22 BARRIE ST","Authorized to Open",https://www.starbuds.co/ontario
CRSA1238457,"KAKABEKA FALLS","Green Mantle Cannabis","4744 HIGHWAY 11/17 BUILDING THREE","Authorized to Open",
CRSA1170449,"NORTH BAY","Kana Leaf","2 OSPREY MIIKAN RD","Authorized to Open",https://www.kanaleaf.ca
CRSA1172695,LEAMINGTON,"The Cannabis Retail Store","280-304 ERIE ST S UNIT 4","Authorized to Open",https://www.thecannabisretailstore.com
CRSA1285431,TORONTO,"Cannabis Hut","699 COXWELL AVE UNIT G01 & G02","Authorized to Open",https://Cannabishut.ca
CRSA1429702,ORILLIA,"One Plant Orillia","285 COLDWATER RD W UNIT 105","Authorized to Open",https://www.oneplant.ca/
CRSA1262474,LONDON,"Value Buds","1030 ADELAIDE ST N UNIT 9B","Authorized to Open",https://www.valuebuds.com
CRSA1172731,WINDSOR,"SPIRITLEAF 1550 HURON CHURCH ROAD","1440 HURON CHURCH RD UNIT 7","Authorized to Open",https://spiritleaf.ca/collections/spiritleaf-ambassador-plaza
CRSA1172522,HAMILTON,"Cannabis Supply Co.","57 JOHN ST S","Authorized to Open",
CRSA1262634,WELLAND,"Garden City Cannabis Co","469 EAST MAIN ST","Authorized to Open",https://gardencitycannabisco.com
CRSA1172625,BURLINGTON,"Canada Buds","1860 APPLEBY LINE UNIT 11B","Authorized to Open",https://www.canada-buds.ca
CRSA1185357,TORONTO,"FOREVER BUDS","722 COLLEGE ST UNIT 1","Authorized to Open",https://www.ForeverBuds.ca
CRSA1172728,CHATHAM,"The We Store","427 ST CLAIR ST UNIT 5A","Authorized to Open",https://thewestore.com
CRSA1175406,HAMILTON,"DA CANNA","281 CANNON ST E","Authorized to Open",https://dacanna.ca/
CRSA1445958,SCARBOROUGH,"HOLLAND DAZE","3003 SHEPPARD AVE E UNIT 6","Authorized to Open",https://hollanddaze.ca
CRSA1171016,"THUNDER BAY","TOKYO SMOKE 1082 MEMORIAL","1082 MEMORIAL AVE","Authorized to Open",https://ca.tokyosmoke.com/
CRSA1438110,"ST. CATHARINES",Superbud,"216 GLENRIDGE AVE UNIT 11AB","Authorized to Open",
CRSA1172587,BARRIE,"The Den Cannabis Store","190 MINETS POINT UNIT 4","Authorized to Open",https://thedencannabis.com
CRSA1270687,NAPANEE,"The Smoke and Leaf Ltd.","8 DUNDAS ST W","Authorized to Open",https://thesmokeandleaf.com
CRSA1431034,COBOURG,"Sessions Cannabis - Cobourg","66 STRATHY RD UNIT G4","Authorized to Open",https://www.sessions.ca/locations/66-strathy-rd-cobourg/
CRSA1445533,BARRIE,"Mellow Malibu","647 WELHAM RD UNIT 10","Authorized to Open",https://mellowmalibu.ca
CRSA1245889,"NORTH YORK","Puffs Haven","5171 YONGE ST","Authorized to Open",
CRSA1258761,TORONTO,"On High Inc.","806A ST CLAIR AVE W","Authorized to Open",https://Www.onhighinc.com
CRSA1172705,WINDSOR,"THE WE STORE","1565 WYANDOTTE ST E","Authorized to Open",https://thewestore.com
CRSA1431282,SCARBOROUGH,"HOLLAND DAZE","1187 BRIMLEY RD","Authorized to Open",https://hollanddaze.ca
CRSA1172527,"ST CATHARINES","Cannabis Supply Co.","314 LAKE ST UNIT 4","Authorized to Open",
CRSA1268439,WINDSOR,"Pop's Cannabis Co.","11500 TECUMSEH RD E UNIT 4","Authorized to Open",https://popscannabis.ca/shop
CRSA1178929,TORONTO,"GREEN MERCHANT A CANNABIS BOUTIQUE","640 YONGE ST","Authorized to Open",
CRSA1431674,GUELPH,"FIKA Cannabis","89 GORDON ST UNIT C3","Authorized to Open",https://fikacannabis.com/
