StoreName,City,Province,FullProvinceName,FullAddress,PostalCode
Nuna Cannabis Store Inc,Iqaluit,NU,Nunavut,"1501 Federal Road",
Nunabis,Rankin Inlet,NU,Nunavut,"PO Box 304",X0C 0G0
Higher Experience,Iqaluit,NU,Nunavut,"760 Queen Elizabeth Way",X0A 3H0
