StoreName,City,Province,FullProvinceName,FullAddress,PostalCode
Dawson City Cannabis,Dawson City,YT,Yukon,"978 Second Ave",Y0B 1G0
Fire and Flower,Whitehorse,YT,Yukon,"80 Chillkot Way",Y1A 6T5
Ninetails Cannabis,Whitehorse,YT,Yukon,"204C Main St",Y1A 2A9
The Herbary,Whitehorse,YT,Yukon,"120b Industrial Rd",Y1A 2T9
Triple J's Canna Space,Whitehorse,YT,Yukon,"211 Wood St",Y1A 2E4
Happy Trails Cannabis,Watson Lake,YT,Yukon,"516 Adela Trail",Y0A 1C0
