Permit Number,StatusDesc,City,Operating Name,Street Address,Website,Last Updated
R1166-2026,Active,Saskatoon,Farmer Jane Cannabis Co. - Saskatoon,107-1526 8th St E,www.farmerjane.ca,2025-10-28
R1334-2028,Active,Regina,Farmer Jane Cannabis Co. - Regina ,6-3789 Chuka Blvd,www.farmerjane.ca,2025-10-28
R1173-2027,Active,Regina,Farmer Jane Cannabis Co. - Regina,2068 Aurora Blvd,www.farmerjane.ca,2025-10-28
R1229-2027,Active,Regina,Farmer Jane Cannabis Co. - Regina,480 McCarthy Blvd N,www.farmerjane.ca,2025-10-28
R1112-2026,Active,Regina,Farmer Jane Cannabis Co. - Regina,D-3881 Rochdale Blvd,www.farmerjane.ca,2025-10-28
R1449-2026,Active,Regina,Farmer Jane Cannabis Co. - Regina,7-4629 Gordon Rd,www.farmerjane.ca,2025-10-28
R1417-2025,Active,Regina,Dewdney Budz - Regina,B-3034 Dewdney Ave,www.dewdneybudz.ca,2025-10-28
R1146-2026,Active,Hudson Bay,Desrochers Cannabis - Hudson Bay,102 Churchill St,www.desrochershotel.com/cannabis/,2025-10-28
R1162-2026,Active,Lloydminster,Delta 9 Cannabis Store - Lloydminster,7-3427 50th Ave,www.delta9.ca,2025-10-28
R1485-2026,Active,Saskatoon,Cost Cannabis Inc. - Saskatoon,2723 Faithfull Ave,www.costcan.ca,2025-10-28
R1421-2026,Active,Regina,Cost Cannabis Inc. - Regina,474 Albert St N,www.costcan.ca,2025-10-28
R1451-2026,Active,Lloydminster,Cost Cannabis Inc. - Lloydminster,4827  44th St,www.costcan.ca,2025-10-28
R1557-2028,Active,Watrous,Cost Cannabis - Watrous,105   2nd St E,www.costcan.ca,2025-10-28
R1326-2028,Active,Redvers,Corner Joint - Redvers,3 Hwy 13,www.redverscornerjoint.com,2025-10-28
R1567-2028,Active,Canora,Corner Grass - Canora,116 1st Ave E,,2025-10-28
R1125-2026,Active,Canora,Canora Cannabis Ltd - Canora,117 Main St,www.canoracannabis.ca,2025-10-28
R1427-2026,Active,Stoughton,Cannabis Counter - Stoughton,404 Railway Ave,N/A,2025-10-28
R1466-2026,Active,Regina,Canna Green Cannabis - Regina,2120 Albert St,www.cannagreencannabis.ca,2025-10-28
R1540-2028,Active,Regina,Canna Green Cannabis - Regina,1359 Broadway Ave.,N/A,2025-10-28
R1067-2028,Active,Tisdale,Canna Cabana - Tisdale,1010 100th St,www.cannacabana.com,2025-10-28
