StoreName,City,Province,FullProvinceName,FullAddress
MTT Service,St. Laurent,MB,Manitoba,"Highway 6 & Twin Lakes Beach Road"
Rural Buds Cannabis Shop,St. Pierre Jolys,MB,Manitoba,Unit 1 - 530 Sabourin Street
AAAAA Supercraft Cannabis,Ste. Anne,MB,Manitoba,Unit 5 - 555 Traverse Road
The Vault Cannabis,Ste. Rose du Lac,MB,Manitoba,645 Central Avenue
Fusion Bud,Stonewall,MB,Manitoba,371 Main Street
Fire & Flower Cannabis Co.,Swan River,MB,Manitoba,526 Main Street
Interlake Smoke,Teulon,MB,Manitoba,8156 E PR 415 & HWY 7
The Vault Cannabis,Teulon,MB,Manitoba,94005 PTH 7 SW 27162 E
Prairie Roots Fine Cannabis,The Pas,MB,Manitoba,258 Fischer Avenue
Delta 9 Cannabis Store,Thompson,MB,Manitoba,300 Mystery Lake Road
Hazy Heaven,Thompson,MB,Manitoba,150 Selkirk Avenue
Meta Cannabis Supply Co.,Thompson,MB,Manitoba,58 Cree Road
Cannabis 204 Retail Store,Virden,MB,Manitoba,163 Nelson Street West
The 59er,West Pine Ridge,MB,Manitoba,847 Dunning Road East
A's Supercraft - Bridgwater,Winnipeg,MB,Manitoba,Unit 2 - 365 Centre Street
Ashdown Market,Winnipeg,MB,Manitoba,171 Bannatyne Avenue
Big Buds Cannabis Sales,Winnipeg,MB,Manitoba,Unit J - 3025 Ness Avenue
Black Tie Cannabis,Winnipeg,MB,Manitoba,Unit 8 - 6500 Roblin Boulevard
Blissful Bloom Cannabis Co.,Winnipeg,MB,Manitoba,Unit 2 - 175 St. Anne's Road
Budville Cannabis,Winnipeg,MB,Manitoba,Unit A2 - 844 McLeod Avenue
Budville Cannabis,Winnipeg,MB,Manitoba,1839 1/2 Portage Avenue
Budville Cannabis,Winnipeg,MB,Manitoba,670 Sargent Avenue
CANACity Cannabis Store,Winnipeg,MB,Manitoba,Unit 2 - 276 Marion Street
Canad Cannabis Corner,Winnipeg,MB,Manitoba,2100 McPhillips Street
Canna Cabana,Winnipeg,MB,Manitoba,Unit 1A - 1439 Henderson Highway
Canna Cabana,Winnipeg,MB,Manitoba,Unit 2 - 481 River Avenue
Canna Cabana,Winnipeg,MB,Manitoba,Unit 51 - 1225 St. Mary's Road
Cannabis at the Green Brier,Winnipeg,MB,Manitoba,1611 Main Street
Cannazonia,Winnipeg,MB,Manitoba,853 Notre Dame Avenue
Carlton Food Mart,Winnipeg,MB,Manitoba,30 Carlton Street
Character Co.,Winnipeg,MB,Manitoba,Unit 9 – 2090 Corydon Avenue
Cottontail Cannabis Company,Winnipeg,MB,Manitoba,16 Britannica Road
Delta 9 Cannabis Store,Winnipeg,MB,Manitoba,Unit 1 - 827 Dakota Street
Delta 9 Cannabis Store,Winnipeg,MB,Manitoba,"Units 2 & 3 - 2001 Henderson Highway"
Delta 9 Cannabis Store,Winnipeg,MB,Manitoba,Unit 2 - 1589 Kenaston Boulevard
Delta 9 Cannabis Store,Winnipeg,MB,Manitoba,Unit A - 78 Marion Street
Delta 9 Cannabis Store,Winnipeg,MB,Manitoba,Unit 15 - 1399 McPhillips Street
Delta 9 Cannabis Store,Winnipeg,MB,Manitoba,2081 Pembina Highway
Delta 9 Cannabis Store,Winnipeg,MB,Manitoba,1719 Portage Avenue
Delta 9 Cannabis Store,Winnipeg,MB,Manitoba,"Units 10 & 11 - 3421 Portage Avenue"
Delta 9 Cannabis Store,Winnipeg,MB,Manitoba,Unit 655 - 1615 Regent Avenue West
Delta 9 Cannabis Store,Winnipeg,MB,Manitoba,478 River Avenue
Delta 9 Cannabis Store,Winnipeg,MB,Manitoba,625 Sargent Avenue
Diamond Flower Cannabis,Winnipeg,MB,Manitoba,Unit C101 - 2080 Ness Avenue
Farmer Jane Cannabis Co.,Winnipeg,MB,Manitoba,"10 -2864 Pembina Highway"
Farmer Jane Cannabis Co.,Winnipeg,MB,Manitoba,Unit B - 1046 Henderson Highway
Farmer Jane Cannabis Co.,Winnipeg,MB,Manitoba,Unit 106 - 6640 Roblin Boulevard
Farmer Jane Cannabis Co.,Winnipeg,MB,Manitoba,Unit 1 - 1194 Taylor Avenue
Farmer Jane Cannabis Co.,Winnipeg,MB,Manitoba,Unit 160 - 235 Vermillion Road
Farmer Jane Cannabis Co.,Winnipeg,MB,Manitoba,"Unit 205 - 1750 Plessis Road,"
Fat Panda,Winnipeg,MB,Manitoba,1830 Main Street
Fat Panda,Winnipeg,MB,Manitoba,Unit 6 - 2230 McPhillips Street
Fat Panda,Winnipeg,MB,Manitoba,Unit 2 - 233 Regent Avenue West
Fiddler's Green Cannabis,Winnipeg,MB,Manitoba,124 King Street
Fiddler's Green Cannabis,Winnipeg,MB,Manitoba,3317 Portage Avenue
Fiddler's Green Cannabis,Winnipeg,MB,Manitoba,103 Sherbrook Street
Fire & Flower Cannabis Co.,Winnipeg,MB,Manitoba,Unit 3 - 1460 Plessis Road
Fire & Flower Cannabis Co.,Winnipeg,MB,Manitoba,Unit 1 - 330 Portage Avenue
Fire & Flower Cannabis Co.,Winnipeg,MB,Manitoba,"Unit K - 730 St. Anne’s Road"
Flamingo + Cannabis,Winnipeg,MB,Manitoba,745 Corydon Avenue
Flamingo + Cannabis,Winnipeg,MB,Manitoba,1512 St. James Street
Flamingo + Cannabis,Winnipeg,MB,Manitoba,Unit G - 2450 Main Street
Flamingo + Cannabis,Winnipeg,MB,Manitoba,3562 Pembina Highway
Flamingo + Cannabis,Winnipeg,MB,Manitoba,Unit 103 - 2565 Portage Avenue
Flamingo + Cannabis,Winnipeg,MB,Manitoba,Unit 9 - 1565 Regent Avenue
Flamingo + Cannabis,Winnipeg,MB,Manitoba,1750 St. James Street
Flax Cannabis,Winnipeg,MB,Manitoba,Unit A - 1863 Ness Avenue
Flint & Embers Cannabis Company,Winnipeg,MB,Manitoba,Unit 100 - 1065 Portage Avenue
Four20 Giggles,Winnipeg,MB,Manitoba,715 St. Mary's Road
Four20 Giggles,Winnipeg,MB,Manitoba,713 McPhillips Street
Fusion Bud,Winnipeg,MB,Manitoba,Unit 117 - 245 Lucas Drive
Garden Variety,Winnipeg,MB,Manitoba,Unit 620 - 1424 Ellice Avenue
Garden Variety,Winnipeg,MB,Manitoba,Unit 10 - 655 Sterling Lyon Parkway
Happy Valleys Cannabis,Winnipeg,MB,Manitoba,1530 Dakota Street
Happy Valleys Cannabis,Winnipeg,MB,Manitoba,Unit 2 - 1115 Gateway Road
Hash Tag Smokes,Winnipeg,MB,Manitoba,Unit 16 - 801 Regent Avenue West
Hemp Haven,Winnipeg,MB,Manitoba,496 Larsen Avenue
Jupiter Cannabis,Winnipeg,MB,Manitoba,Unit C - 580 Academy Road
Kildare Stop & Shop,Winnipeg,MB,Manitoba,Unit 1 - 630 Kildare Avenue East
Krahnic Kulture Shop,Winnipeg,MB,Manitoba,1940 Main Street
Lucy's Cannabis,Winnipeg,MB,Manitoba,2367 Ness Avenue
Lux Leaf Cannabis,Winnipeg,MB,Manitoba,Unit 150 - 400 North Town Road
Lux Leaf Cannabis,Winnipeg,MB,Manitoba,Unit 19 - 2727 Portage Avenue
Meta Cannabis Supply Co.,Winnipeg,MB,Manitoba,1881 Grant Avenue
Meta Cannabis Supply Co.,Winnipeg,MB,Manitoba,Unit 23 - 584 Pembina Highway
Meta Cannabis Supply Co.,Winnipeg,MB,Manitoba,"Units 50 - 60, 2589 Pembina Highway"
Meta Cannabis Supply Co.,Winnipeg,MB,Manitoba,2145 Portage Avenue
Miss Mary Jane's Cannabis Shop,Winnipeg,MB,Manitoba,Unit 4 - 1635 Burrows Avenue
Mistik Cannabis Co.,Winnipeg,MB,Manitoba,1670 Main Street
My Two Sons,Winnipeg,MB,Manitoba,Unit 2 - 2055 McPhillips Street
Nimbus Cannabis,Winnipeg,MB,Manitoba,Unit 17 - 200 Meadowood Drive
Nor-Villa Motor Hotel,Winnipeg,MB,Manitoba,1763 Henderson Highway
Osborne Vape Smoke and Bongs,Winnipeg,MB,Manitoba,Unit 108 - 100 Osborne Street
Parrot Pot Shop,Winnipeg,MB,Manitoba,Unit 100 - 175 Carlton Street
Parrot Pot Shop,Winnipeg,MB,Manitoba,Unit 3 - 875 Corydon Avenue
Parrot Pot Shop,Winnipeg,MB,Manitoba,719 Osborne Street
Parrot Pot Shop,Winnipeg,MB,Manitoba,380 Selkirk Avenue
Parrot Pot Shop,Winnipeg,MB,Manitoba,Unit 103 - 198 Sherbrook Street
Pharsyde Cannabis,Winnipeg,MB,Manitoba,117 Regent Avenue West
Pot Life,Winnipeg,MB,Manitoba,Unit B - 201 Henderson Highway
Puff Paradise,Winnipeg,MB,Manitoba,Unit A - 1065 Ellice Avenue
Puff Paradise,Winnipeg,MB,Manitoba,Unit 2 - 825 Henderson Highway
Quick 7-Ten Convenience Store,Winnipeg,MB,Manitoba,Unit D - 955 Main Street
Quick 7-Ten Cannabis,Winnipeg,MB,Manitoba,737 Wellington Avenue
Sam's Food Fare,Winnipeg,MB,Manitoba,Unit 4 - 81 Garry St.
Second Fiddle Cannabis Ltd.,Winnipeg,MB,Manitoba,"420 – 826 Main Street"
Smoke City Cannabis,Winnipeg,MB,Manitoba,Unit C - 129 Isabel Street
Smoky Trails,Winnipeg,MB,Manitoba,1342 Main Street
Spiritleaf,Winnipeg,MB,Manitoba,Unit 110 - 2136 McPhillips Street
Spiritleaf,Winnipeg,MB,Manitoba,Unit 6 - 3653 Portage Avenue
Spiritleaf,Winnipeg,MB,Manitoba,Unit 2 - 690 St. James Street
Spiritleaf,Winnipeg,MB,Manitoba,"Unit E - 1510 St. Mary's Road"
St. Anne's Stop & Shop,Winnipeg,MB,Manitoba,313 St. Anne's Road
Star Buds Cannabis Co.,Winnipeg,MB,Manitoba,Unit C - 1566 Pembina Highway
Star Buds Cannabis Co.,Winnipeg,MB,Manitoba,2519 Portage Avenue
Star Buds Cannabis Co.,Winnipeg,MB,Manitoba,1210 Rothesay Street
Sukh Cannabis,Winnipeg,MB,Manitoba,2 - 353 Provencher Boulevard
Sukh Supermarket,Winnipeg,MB,Manitoba,775 Westminster Avenue
Sweet Weedz,Winnipeg,MB,Manitoba,Unit 4 - 1783 Plessis Road
Tatva Cannabis,Winnipeg,MB,Manitoba,1821 Portage Avenue
The Budstop Cannabis Inc.,Winnipeg,MB,Manitoba,Unit E - 1155 Main Street
The Budstop Cannabis Inc.,Winnipeg,MB,Manitoba,Unit B - 1026 St. Mary's Road
The Budstop Cannabis Inc.,Winnipeg,MB,Manitoba,Unit C - 1885 Portage Avenue
The Hazy Highway,Winnipeg,MB,Manitoba,375 Henderson Highway
The Joint Cannabis Shop,Winnipeg,MB,Manitoba,607 Corydon Avenue
The Joint Cannabis Shop,Winnipeg,MB,Manitoba,"Units 8 & 9 - 3900 Grant Avenue"
The Joint Cannabis Shop,Winnipeg,MB,Manitoba,1165 Henderson Highway
The Joint Cannabis Shop,Winnipeg,MB,Manitoba,Unit 5 - 1650 Kenaston Boulevard
The Joint Cannabis Shop,Winnipeg,MB,Manitoba,Unit 2 - 835 Keewatin Street
The Joint Cannabis Shop,Winnipeg,MB,Manitoba,Unit 3 - 915 Leila Avenue
The Joint Cannabis Shop,Winnipeg,MB,Manitoba,578 St. Mary's Road
The Joint Cannabis Shop,Winnipeg,MB,Manitoba,1459 Main Street
The Joint Cannabis Shop,Winnipeg,MB,Manitoba,2997 Pembina Highway
