StoreName,City,Province,FullProvinceName,Address,PostalCode,Latitude,Longitude
True North Cannabis Company,HAMILTON,ON,Ontario,326 OTTAWA ST N,L8H 4A1,43.2509649,-79.816139
Soul Rebel Cannabis Co.,SCARBOROUGH,ON,Ontario,2416 EGLINTON AVE E,M1K 2P3,43.7325152,-79.2692303
Cannabis Stop Inc.,SHELBURNE,ON,Ontario,171 MAIN ST W SUITE 101,L0N 1S3,44.0780185,-80.2055043
Century Cannabis,TORONTO,ON,Ontario,288 ADELAIDE ST. W.,M5V 1P6,43.6478265,-79.3909674
Em Jay's,ETOBICOKE,ON,Ontario,5160 DUNDAS ST W,M9A 1C2,43.6434575,-79.5341332
RAINBOW THUNDER BAY CANNABIS ACCESSORIES,THUNDER BAY,ON,Ontario,428 VICTORIA AVE E,P7C 1A5,48.3840113,-89.2453142
Highlife 6353 Yonge,NORTH YORK,ON,Ontario,6353 YONGE ST,M2M 3X7,43.7962643,-79.4192399
Prairie and Luna Cannabis Co.,PETAWAWA,ON,Ontario,3067 PETAWAWA BLVD SUITE 2,K8H 1X9,45.8899468,-77.262414
Matchbox Cannabis,SAULT STE MARIE,ON,Ontario,275 SECOND LINE WEST UNIT 120A,P6C 2J4,46.5364828,-84.3645399
Chamba Cannabis Co,WATERLOO,ON,Ontario,425 UNIVERSITY AVE E UNIT D,N2K 4C9,43.4894312,-80.4918288
The We Store,BELLE RIVER,ON,Ontario,"1303 ESSEX COUNTY ROAD #22, UNIT 180",N8L 0J7,42.2959818,-82.7503064
Spiritleaf Ancaster,ANCASTER,ON,Ontario,1090 WILSON ST W UNIT 3,L9G 3K9,43.1985855,-80.0165969
Ronin Cannabis,GUELPH,ON,Ontario,86 GORDON ST UNIT C,N1H 4H6,43.541048,-80.2437732
CANNABIS XPRESS,BRAMPTON,ON,Ontario,405 VETERANS DR,L7A 0B2,43.68953,-79.8537
Seven Point Cannabis,TORONTO,ON,Ontario,2114 BLOOR ST W UNIT B,M6S 1N1,43.6522823,-79.4722726
Highlife Cannabis Second Line SSM,SAULT STE. MARIE,ON,Ontario,612 SECOND LINE W,P6C 2K7,46.5373985,-84.3809691
T CANNABIS,NEW LISKEARD,ON,Ontario,9 ARMSTRONG ST N,P0J 1P0,47.5087728,-79.6710953
SESSIONS CANNABIS - CARLISLE,CARLISLE,ON,Ontario,278 CARLISLE RD,L0R 1H2,43.3937918,-79.9806256
Sessions Cannabis Brockville,BROCKVILLE,ON,Ontario,2441 PARKEDALE AVE UNIT C,K6V 3G9,44.6030926,-75.7003775
SESSIONS CANNABIS - OTTAWA,OTTAWA,ON,Ontario,603 SOMERSET ST W,K1R 6C6,45.4124692,-75.7037682
Cumberland Cannabis,TORONTO,ON,Ontario,20 CUMBERLAND ST,M4W 1J5,43.6710906,-79.388211
TAKE OFF CANNABIS,THOROLD,ON,Ontario,9 PINE ST N UNIT 28,L2V 4J6,43.125493,-79.2042434
INCA CANNABIS,ETOBICOKE,ON,Ontario,3880 BLOOR ST W,M9B 1L3,43.6406012,-79.5419411
ONE PLANT SCARBOROUGH,SCARBOROUGH,ON,Ontario,43 MILNER AVE UNIT C-1D,M1S 3P6,43.7837641,-79.253168
10 Seventeen,BELLE RIVER,ON,Ontario,571 NOTRE DAME STREET  SUITE A,N8L 1K8,42.293365,-82.7094008
Pop's Cannabis Co.,BRADFORD,ON,Ontario,547 HOLLAND ST W UNIT P009,L3Z 0C1,44.1080261,-79.5982094
UpHi Cannabis Emporium,ST CATHARINES,ON,Ontario,198 GLENRIDGE AVE UNIT 6,L2T 3J8,43.1426731,-79.2399167
